"","Price"
"1/24/2023 0:00","22614.658440741397"
"1/23/2023 0:00","22944.9201"
"1/22/2023 0:00","22723.9532"
"1/21/2023 0:00","22751.6074"
"1/20/2023 0:00","22665.7507"
"1/19/2023 0:00","21082.058204303703"
"1/18/2023 0:00","20686.510419770384"
"1/17/2023 0:00","21157.189612933496"
"1/16/2023 0:00","21171.04828454444"
"1/15/2023 0:00","20856.05839135823"
"1/14/2023 0:00","20983.9756"
"1/13/2023 0:00","19913.729474529402"
"1/12/2023 0:00","18858.6646"
"1/11/2023 0:00","17939.362499760573"
"1/10/2023 0:00","17435.7516459177"
"1/9/2023 0:00","17194.77873456542"
"1/8/2023 0:00","17070.574511476352"
"1/7/2023 0:00","16944.5396"
"1/6/2023 0:00","16953.972066580434"
"1/5/2023 0:00","16828.8464"
"1/4/2023 0:00","16857.282709442374"
"1/3/2023 0:00","16675.90903725487"
"1/2/2023 0:00","16677.44994353439"
"1/1/2023 0:00","16607.069459238443"
"12/31/2022 0:00","16538.3479"
"12/30/2022 0:00","16603.751952657036"
"12/29/2022 0:00","16641.44486445416"
"12/28/2022 0:00","16549.98326575003"
"12/27/2022 0:00","16706.459709721472"
"12/26/2022 0:00","16908.94843019802"
"12/25/2022 0:00","16829.918403840365"
"12/24/2022 0:00","16833.8821"
"12/23/2022 0:00","16780.463676220097"
"12/22/2022 0:00","16822.062144857282"
"12/21/2022 0:00","16806.416495870926"
"12/20/2022 0:00","16902.54219033073"
"12/19/2022 0:00","16424.79671324863"
"12/18/2022 0:00","16750.765809591638"
"12/17/2022 0:00","16785.892297944447"
"12/16/2022 0:00","16608.4932"
"12/15/2022 0:00","17339.458270551433"
"12/14/2022 0:00","17799.16897417585"
"12/13/2022 0:00","17766.350552594908"
"12/12/2022 0:00","17220.814535119767"
"12/11/2022 0:00","17091.916535641005"
"12/10/2022 0:00","17114.3405863705"
"12/9/2022 0:00","17123.38672774531"
"12/8/2022 0:00","17254.841595411017"
"12/7/2022 0:00","16838.047473161492"
"12/6/2022 0:00","17088.37611635709"
"12/5/2022 0:00","16959.336063823"
"12/4/2022 0:00","17130.165329487445"
"12/3/2022 0:00","16903.723625317816"
"12/2/2022 0:00","17088.4265"
"12/1/2022 0:00","16956.1893"
"11/30/2022 0:00","17188.63467960707"
"11/29/2022 0:00","16436.1924"
"11/28/2022 0:00","16212.403248220657"
"11/27/2022 0:00","16432.36461511383"
"11/26/2022 0:00","16461.1945184485"
"11/25/2022 0:00","16511.91127766036"
"11/24/2022 0:00","16597.7313"
"11/23/2022 0:00","16615.2292"
"11/22/2022 0:00","16174.9574"
"11/21/2022 0:00","15779.971701749892"
"11/20/2022 0:00","16291.4477"
"11/19/2022 0:00","16715.838593288543"
"11/18/2022 0:00","16711.141784652442"
"11/17/2022 0:00","16690.889527338422"
